IpRangeId,Operator,RangeStart,RangeEnd
289,Airtel,110.225.128.0,110.225.159.255
290,Airtel,110.225.0.0,110.225.31.255
291,Airtel,110.224.96.0,110.224.127.255
292,Airtel,110.224.64.0,110.224.95.255
293,Airtel,110.224.32.0,110.224.63.255
294,Airtel,110.224.224.0,110.224.255.255
295,Airtel,110.224.192.0,110.224.223.255
296,Airtel,110.224.176.0,110.224.191.255
297,Airtel,110.224.160.0,110.224.175.255
298,Airtel,110.224.144.0,110.224.159.255
299,Airtel,110.224.128.0,110.224.143.255
300,Airtel,110.224.0.0,110.224.31.255
301,Airtel,110.224.0.0,110.227.255.255
302,Airtel,106.224.0.0,106.224.255.255
303,Airtel,106.223.0.0,106.223.255.255
304,Airtel,106.221.0.0,106.221.255.255
305,Airtel,106.220.0.0,106.220.255.255
306,Airtel,106.200.0.0,106.200.255.255
307,Airtel,106.199.0.0,106.199.127.255
308,Airtel,106.198.128.0,106.198.255.255
309,Airtel,106.198.0.0,106.198.127.255
310,Airtel,106.197.0.0,106.197.255.255
311,Airtel,106.196.0.0,106.196.255.255
312,Airtel,106.195.128.0,106.195.255.255
313,Airtel,106.195.0.0,106.195.127.255
314,Airtel,106.194.0.0,106.194.255.255
315,Airtel,106.193.0.0,106.193.255.255
316,Airtel,106.192.0.0,106.192.255.255
317,Airtel,106.192.0.0,106.223.255.255
318,Airtel,10.225.64.0,10.225.127.255
319,Airtel,10.225.32.0,10.225.63.255
320,Airtel,10.192.0.0,10.192.31.255
321,Airtel,10.191.20.0,10.191.21.255
322,Airtel,10.191.136.0,10.191.143.255
323,Airtel,10.186.96.0,10.186.127.255
324,Airtel,10.186.64.0,10.186.95.255
325,Airtel,10.186.0.0,10.186.15.255
326,Airtel,10.150.248.0,10.150.251.255
327,Docomo,59.161.48.0,59.161.63.255
328,Docomo,59.161.32.0,59.161.47.255
329,Docomo,59.161.176.0,59.161.191.255
330,Docomo,59.161.144.0,59.161.159.255
331,Docomo,59.161.128.0,59.161.143.255
332,Docomo,49.249.64.0,49.249.127.255
333,Docomo,49.249.32.0,49.249.63.255
334,Docomo,49.249.224.0,49.249.255.255
335,Docomo,49.249.192.0,49.249.223.255
336,Docomo,49.249.128.0,49.249.191.255
337,Docomo,49.249.0.0,49.249.31.255
338,Docomo,49.248.244.0,49.248.245.255
339,Docomo,49.248.240.0,49.248.243.255
340,Docomo,49.248.224.0,49.248.239.255
341,Docomo,49.203.96.1,49.203.111.254
342,Docomo,49.203.80.1,49.203.95.254
343,Docomo,49.203.64.1,49.203.79.254
344,Docomo,49.203.48.1,49.203.63.254
345,Docomo,49.203.32.1,49.203.47.254
346,Docomo,49.203.252.1,49.203.255.254
347,Docomo,49.203.224.1,49.203.224.254
348,Docomo,49.203.192.1,49.203.223.254
349,Docomo,49.203.176.1,49.203.191.254
350,Docomo,49.203.160.1,49.203.175.254
351,Docomo,49.203.16.1,49.203.31.254
352,Docomo,49.203.144.1,49.203.159.254
353,Docomo,49.203.128.1,49.203.143.254
354,Docomo,49.203.112.1,49.203.127.254
355,Docomo,49.203.0.1,49.203.15.254
356,Docomo,49.203.0.0,49.203.255.255
357,Docomo,49.202.96.1,49.202.103.254
358,Docomo,49.202.92.1,49.202.95.254
359,Docomo,49.202.88.1,49.202.91.254
360,Docomo,49.202.84.1,49.202.87.254
361,Docomo,49.202.80.1,49.202.83.254
362,Docomo,49.202.64.1,49.202.79.254
363,Docomo,49.202.224.1,49.202.239.254
364,Docomo,49.202.216.1,49.202.223.254
365,Docomo,49.202.208.1,49.202.215.254
366,Docomo,49.202.200.1,49.202.207.254
367,Docomo,49.202.192.1,49.202.199.254
368,Docomo,49.202.128.1,49.202.191.254
369,Docomo,49.202.120.1,49.202.127.254
370,Docomo,49.202.112.1,49.202.119.254
371,Docomo,49.202.104.1,49.202.111.254
372,Docomo,49.202.0.1,49.202.63.254
373,Docomo,49.202.0.0,49.202.255.255
374,Docomo,49.201.96.1,49.201.111.254
